"ParticipantID","DreamFrequency","DreamVividness","DreamLocation","Image1","Image2"
"001f","5","4","0","saturation_04.jpg","saturation_04_2.jpg"
"002m","6","4","0","saturation_05.jpg","saturation_05_2.jpg"
"001f_c","0","1","0","saturation_07.jpg","saturation_07_2.jpg"
"002m_c","0","1","0","saturation_08.jpg","saturation_08_2.jpg"
"003f","6","5","1","saturation_07.jpg","saturation_08_2.jpg"
"003f_c","0","1","0","saturation_05.jpg","saturation_05_2.jpg"
"004f","5","5","0","saturation_08.jpg","saturation_08_2.jpg"
"004f_c","5","5","0","saturation_08.jpg","saturation_10_2.jpg"
"005f_bis","5","3","1","saturation_03.jpg","saturation_03_2.jpg"
"005f_c","0","1","0","saturation_09.jpg","saturation_10_2.jpg"
"006_f","4","2","0","saturation_04.jpg","saturation_04_2.jpg"
"006f_c","0","1","0","saturation_09.jpg","saturation_09_2.jpg"
"007m","4","3","0","saturation_03.jpg","saturation_04_2.jpg"
"007m_c","0","1","0","saturation_08.jpg","saturation_08_2.jpg"
"008f","4","4","1","saturation_03.jpg","saturation_03_2.jpg"
"008f_c","0","1","0","saturation_08.jpg","saturation_09_2.jpg"
"009m","4","2","1","saturation_11.jpg","saturation_12_2.jpg"
"009m_c","0","1","0","saturation_08.jpg","saturation_08_2.jpg"
